Experience (years),Years at Current Company,Location,Remote Ratio,Education Level,Company Size,Company Tier,Salary,Salary (USD)
5.3,7.3,London,100,Master,Large,Tier 1,78204,62563
1.1,9.2,Bangalore,50,Master,Medium,Tier 2,40984,8196
5.6,2.4,Remote,0,PhD,Large,Tier 2,78519,70667
20,6.6,San Francisco,100,PhD,Small,Tier 3,90150,99165
11,2.1,London,100,PhD,Large,Tier 3,84619,67695
10.1,7.6,London,50,PhD,Large,Tier 3,76253,61002
10.6,7.8,London,0,Bachelor,Large,Tier 2,65475,52380
11.2,8.9,Austin,100,Master,Medium,Tier 3,65212,58690
16.7,6.5,Austin,50,Bachelor,Large,Tier 1,98977,89079
14.7,9.1,Chicago,50,Master,Medium,Tier 1,101979,86682
11.5,7.2,San Francisco,100,Master,Small,Tier 1,80320,88352
14.7,4.8,San Francisco,50,PhD,Medium,Tier 2,102462,112708
1.8,9.4,Remote,0,PhD,Small,Tier 2,49013,44111
15.1,9.7,Bangalore,0,Master,Medium,Tier 2,90848,18169
4.9,1,London,50,Master,Small,Tier 3,45523,36418
15.5,3.2,Austin,50,PhD,Small,Tier 3,82884,74595
3.8,8.5,Bangalore,50,Master,Small,Tier 2,44190,8838
3.5,5.5,New York,0,Bachelor,Large,Tier 1,60106,60106
11.5,3.9,Remote,0,Master,Medium,Tier 3,60374,54336
3.1,9.3,Remote,100,Bachelor,Medium,Tier 1,52813,47531
1.7,9.3,Bangalore,0,PhD,Small,Tier 2,44672,8934
4.6,2.6,Remote,0,Bachelor,Large,Tier 1,61405,55264
15.5,8.5,Seattle,0,Master,Medium,Tier 3,78872,74928
9,2.2,Austin,100,Bachelor,Small,Tier 2,54596,49136
10.6,5,Chicago,50,Master,Small,Tier 3,55782,47414
0.6,0.3,Bangalore,50,PhD,Large,Tier 1,63944,12788
0.5,1.7,New York,0,PhD,Small,Tier 2,47837,47837
2.1,7.4,Chicago,0,Bachelor,Small,Tier 1,45014,38261
